xpath,module,type,enum,kind,description,default,platforms
 3 cflowd,^,,,c,,,A
 3 collect-stats,^,,,c,,,A
 3 cpu-protection,^,,,c,,,P
 3 description,^,,,c,,,A
 3 dist-cpu-protection,^,,,c,,,A
 3 egress,^,,,c,,,A
 4 agg-rate,^,,,c,,,A
 5 adaptation-rule,^,,,c,,,L
 5 burst-limit,^,,,c,,,L
 5 limit-unused-bandwidth,^,,,c,,,A
 5 queue-frame-based-accounting,^,,,c,,,A
 5 rate,^,,,c,,,A
 4 burst-limit,^,,,c,,,
 4 egress-remark-policy,^,,,c,,,
 4 filter,^,,,c,,,A
 4 latency-budget,^,,,c,,,C
 4 percent-agg-rate,^,,,c,,,
 5 rate,^,,,c,,,
 4 policer-control-override,^,,,c,,,F
 5 max-rate,^,,,c,,,F
 5 priority-mbs-thresholds,^,,,c,,,F
 6 min-thresh-separation,^,,,c,,,F
 6 priority,^,,,c,,,F
 7 mbs-contribution,^,,,c,,,F
 4 policer-control-policy,^,,,c,,,F
 4 policer-override,^,,,c,,,F
 5 policer,^,,,c,,,F
 6 cbs,^,,,c,,,F
 6 mbs,^,,,c,,,F
 6 packet-byte-offset,^,,,c,,,F
 6 percent-rate,^,,,c,,,F
 6 rate,^,,,c,,,F
 6 stat-mode,^,,,c,,,F
 4 qinq-mark-top-only,^,,,c,,,A
 4 qos,^,,,c,,,A
 4 queue-override,^,,,c,,,A
 5 hs-secondary-shaper,^,,,c,,,U
 5 hs-wrr-group,^,,,c,,,U
 6 class-weight,^,,,c,,,U
 6 percent-rate,^,,,c,,,U
 6 rate,^,,,c,,,U
 5 queue,^,,,c,,,A
 6 adaptation-rule,^,,,c,,,A
 6 avg-frame-overhead,^,,,c,,,A
 6 burst-limit,^,,,c,,,A
 6 cbs,^,,,c,,,A
 6 drop-tail,^,,,c,,,A
 7 low,^,,,c,,,A
 8 percent-reduction-from-mbs,^,,,c,,,A
 6 hs-class-weight,^,,,c,,,U
 6 hs-wred-queue,^,,,c,,,U
 6 hs-wrr-weight,^,,,c,,,U
 6 mbs,^,,,c,,,A
 6 monitor-queue-depth,^,,,c,,,A
 6 parent,^,,,c,,,A
 6 percent-rate,^,,,c,,,A
 6 rate,^,,,c,,,A
 4 scheduler-override,^,,,c,,,A
 5 scheduler,^,,,c,,,A
 6 parent,^,,,c,,,A
 6 rate,^,,,c,,,A
 4 scheduler-policy,^,,,c,,,A
 4 vlan-manipulation,^,,,c,,,
 5 preserve,^,,,c,,,
 5 push,^,,,c,,,
 5 translate,^,,,c,,,
 4 vlan-qos-policy,^,,,c,,,
 4 vport,^,,,c,,,B
 3 eth-cfm,^,,,c,,,C
 4 ais-enable,^,,,c,,,C
 4 collect-lmm-fc-stats,^,,,c,,,C
 5 fc,^,,,c,,,C
 5 fc-in-profile,^,,,c,,,C
 4 collect-lmm-stats,^,,,c,,,C
 4 mep,^,,,c,,,C
 5 ais-enable,^,,,c,,,C
 6 client-meg-level,^,,,c,,,C
 6 interface-support-enable,^,,,c,,,C
 6 interval,^,,,c,,,C
 6 low-priority-defect,^,,,c,,,C
 6 priority,^,,,c,,,C
 5 alarm-notification,^,,,c,,,C
 6 fng-alarm-time,^,,,c,,,C
 6 fng-reset-time,^,,,c,,,C
 5 ccm-enable,^,,,c,,,C
 5 ccm-ltm-priority,^,,,c,,,C
 5 ccm-padding-size,^,,,c,,,C
 5 cfm-vlan-tag,^,,,c,,,C
 5 cp-vlan-tag,^,,,c,,,
 5 csf-enable,^,,,c,,,C
 6 multiplier,^,,,c,,,C
 5 description,^,,,c,,,C
 5 eth-test-enable,^,,,c,,,C
 6 bit-error-threshold,^,,,c,,,C
 6 test-pattern,^,,,c,,,C
 5 fault-propagation-enable,^,,,c,,,C
 5 grace,^,,,c,,,C
 6 eth-ed,^,,,c,,,C
 7 max-rx-defect-window,^,,,c,,,C
 7 priority,^,,,c,,,C
 7 rx-eth-ed,^,,,c,,,C
 7 tx-eth-ed,^,,,c,,,C
 6 eth-vsm-grace,^,,,c,,,C
 7 rx-eth-vsm-grace,^,,,c,,,C
 7 tx-eth-vsm-grace,^,,,c,,,C
 5 install-mep,^,,,c,,,
 5 lbm-svc-act-responder,^,,,c,,,C
 5 low-priority-defect,^,,,c,,,C
 5 mac-address,^,,,c,,,C
 5 monitor-oper-group,^,,,c,,,C
 5 one-way-delay-threshold,^,,,c,,,C
 5 shutdown,^,,,c,,,C
 4 mip,^,,,c,,,C
 4 squelch-ingress-ctag-levels,^,,,c,,,C
 4 squelch-ingress-levels,^,,,c,,,C
 4 tunnel-fault,^,,,c,,,C
 3 eth-tunnel,^,,,c,,,C
 4 path,^,,,c,,,C
 3 ethernet,^,,,c,,,A
 4 llf,^,,,c,,,A
 3 ignore-oper-down,^,,,c,,,A
 3 ingress,^,,,c,,,A
 4 aggregate-policer-rate,^,,,c,,,
 4 criteria-overrides,^,,,c,,,C
 5 ip-criteria,^,,,c,,,C
 6 activate-entry-tag,^,,,c,,,C
 5 ipv6-criteria,^,,,c,,,C
 6 activate-entry-tag,^,,,c,,,C
 4 filter,^,,,c,,,A
 4 match-qinq-dot1p,^,,,c,,,A
 4 policer-control-override,^,,,c,,,F
 5 max-rate,^,,,c,,,F
 5 priority-mbs-thresholds,^,,,c,,,F
 6 min-thresh-separation,^,,,c,,,F
 6 priority,^,,,c,,,F
 7 mbs-contribution,^,,,c,,,F
 4 policer-control-policy,^,,,c,,,F
 4 policer-override,^,,,c,,,F
 5 policer,^,,,c,,,F
 6 cbs,^,,,c,,,F
 6 mbs,^,,,c,,,F
 6 packet-byte-offset,^,,,c,,,F
 6 percent-rate,^,,,c,,,F
 6 rate,^,,,c,,,F
 6 stat-mode,^,,,c,,,F
 4 qinq-vlan-translation,^,,,c,,,A
 4 qos,^,,,c,,,A
 4 queue-override,^,,,c,,,A
 5 queue,^,,,c,,,A
 6 adaptation-rule,^,,,c,,,A
 6 cbs,^,,,c,,,A
 6 drop-tail,^,,,c,,,A
 7 low,^,,,c,,,A
 8 percent-reduction-from-mbs,^,,,c,,,A
 6 mbs,^,,,c,,,A
 6 monitor-queue-depth,^,,,c,,,A
 6 parent,^,,,c,,,A
 6 percent-rate,^,,,c,,,A
 6 rate,^,,,c,,,A
 4 scheduler-override,^,,,c,,,A
 5 scheduler,^,,,c,,,A
 6 parent,^,,,c,,,A
 6 rate,^,,,c,,,A
 4 scheduler-policy,^,,,c,,,A
 4 shared-policer,^,,,c,,,
 4 vlan-manipulation,^,,,c,,,
 5 preserve,^,,,c,,,
 5 push,^,,,c,,,
 5 translate,^,,,c,,,
 4 vlan-translation,^,,,c,,,A
 3 l2tpv3-session,^,,,c,,,A
 4 pw-type,^,,,c,,,A
 4 router,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 4 vc-id,^,,,c,,,A
 3 lag-link-map-profile,^,,,c,,,A
 3 lag-per-link-hash,^,,,c,,,A
 3 monitor-oper-group,^,,,c,,,A
 3 multi-service-site,^,,,c,,,A
 3 oper-group,^,,,c,,,A
 3 ring-node,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 transit-policy,^,,,c,,,D
 2 segment-routing-v6,^,,,c,,,G
 3 locator,^,,,c,,,G
 4 function,^,,,c,,,G
 5 end-dx2,^,,,c,,,G
 3 micro-segment-locator,^,,,c,,,G
 4 function,^,,,c,,,G
 5 udx2,^,,,c,,,G
 2 service-mtu,^,,,c,,,A
 2 shutdown,^,,,c,,,A
 2 site,^,,,c,,,A
 3 boot-timer,^,,,c,,,A
 3 sap,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 site-activation-timer,^,,,c,,,A
 3 site-id,^,,,c,,,A
 3 site-min-down-timer,^,,,c,,,A
 3 site-preference,^,,,c,,,A
 2 spoke-sdp,^,,,c,,,A
 3 aarp,^,,,c,,,D
 3 accounting-policy,^,,,c,,,A
 3 adv-service-mtu,^,,,c,,,A
 3 app-profile,^,,,c,,,D
 3 bandwidth,^,,,c,,,A
 3 bfd,^,,,c,,,A
 4 bfd-enable,^,,,c,,,A
 4 bfd-template,^,,,c,,,A
 4 failure-action,^,,,c,,,A
 4 wait-for-up-timer,^,,,c,,,A
 3 block-on-peer-fault,^,,,c,,,A
 3 collect-stats,^,,,c,,,A
 3 control-channel-status,^,,,c,,,A
 4 acknowledgment,^,,,c,,,A
 4 refresh-timer,^,,,c,,,A
 4 request-timer,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 3 control-word,^,,,c,,,A
 3 cpu-protection,^,,,c,,,P
 3 description,^,,,c,,,A
 3 egress,^,,,c,,,A
 4 filter,^,,,c,,,A
 4 l2tpv3,^,,,c,,,A
 5 cookie,^,,,c,,,A
 4 qos,^,,,c,,,A
 4 vc-label,^,,,c,,,A
 3 entropy-label,^,,,c,,,A
 3 eth-cfm,^,,,c,,,C
 4 collect-lmm-fc-stats,^,,,c,,,C
 5 fc,^,,,c,,,C
 5 fc-in-profile,^,,,c,,,C
 4 collect-lmm-stats,^,,,c,,,C
 4 mep,^,,,c,,,C
 5 ais-enable,^,,,c,,,C
 6 client-meg-level,^,,,c,,,C
 6 interface-support-enable,^,,,c,,,C
 6 interval,^,,,c,,,C
 6 low-priority-defect,^,,,c,,,C
 6 priority,^,,,c,,,C
 5 alarm-notification,^,,,c,,,C
 6 fng-alarm-time,^,,,c,,,C
 6 fng-reset-time,^,,,c,,,C
 5 ccm-enable,^,,,c,,,C
 5 ccm-ltm-priority,^,,,c,,,C
 5 ccm-padding-size,^,,,c,,,C
 5 cfm-vlan-tag,^,,,c,,,C
 5 csf-enable,^,,,c,,,C
 6 multiplier,^,,,c,,,C
 5 description,^,,,c,,,C
 5 eth-test-enable,^,,,c,,,C
 6 bit-error-threshold,^,,,c,,,C
 6 test-pattern,^,,,c,,,C
 5 fault-propagation-enable,^,,,c,,,C
 5 grace,^,,,c,,,C
 6 eth-ed,^,,,c,,,C
 7 max-rx-defect-window,^,,,c,,,C
 7 priority,^,,,c,,,C
 7 rx-eth-ed,^,,,c,,,C
 7 tx-eth-ed,^,,,c,,,C
 6 eth-vsm-grace,^,,,c,,,C
 7 rx-eth-vsm-grace,^,,,c,,,C
 7 tx-eth-vsm-grace,^,,,c,,,C
 5 install-mep,^,,,c,,,
 5 lbm-svc-act-responder,^,,,c,,,C
 5 low-priority-defect,^,,,c,,,C
 5 mac-address,^,,,c,,,C
 5 one-way-delay-threshold,^,,,c,,,C
 5 shutdown,^,,,c,,,C
 4 mip,^,,,c,,,C
 4 squelch-ingress-ctag-levels,^,,,c,,,C
 4 squelch-ingress-levels,^,,,c,,,C
 3 force-qinq-vc-forwarding,^,,,c,,,A
 3 force-vlan-vc-forwarding,^,,,c,,,A
 3 hash-label,^,,,c,,,A
 3 ingress,^,,,c,,,A
 4 filter,^,,,c,,,A
 4 l2tpv3,^,,,c,,,A
 5 cookie,^,,,c,,,A
 4 qos,^,,,c,,,F
 4 vc-label,^,,,c,,,A
 3 monitor-oper-group,^,,,c,,,A
 3 oper-group,^,,,c,,,A
 3 precedence,^,,,c,,,A
 3 pw-path-id,^,,,c,,,C
 4 agi,^,,,c,,,C
 4 saii-type2,^,,,c,,,C
 4 taii-type2,^,,,c,,,C
 3 pw-status-signaling,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 standby-signaling-slave,^,,,c,,,A
 3 transit-policy,^,,,c,,,D
 3 use-sdp-bmac,^,,,c,,,A
 3 vlan-vc-tag,^,,,c,,,A
 2 spoke-sdp-fec,^,,,c,,,A
 3 auto-config,^,,,c,,,A
 3 path,^,,,c,,,A
 3 precedence,^,,,c,,,A
 3 pw-template-bind,^,,,c,,,A
 3 retry-count,^,,,c,,,A
 3 retry-timer,^,,,c,,,A
 3 saii-type2,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 signaling,^,,,c,,,A
 3 standby-signaling-slave,^,,,c,,,A
 3 taii-type2,^,,,c,,,A
 2 vxlan,^,,,c,,,A
 3 egr-vtep,^,,,c,,,A
 4 oper-group,^,,,c,,,A
 2 vxlan-src-vtep,^,,,c,,,A
  ies,^,,,c,,,A
 2 aa-interface,^,,,c,,,D
 3 address,^,,,c,,,D
 3 description,^,,,c,,,D
 3 ip-mtu,^,,,c,,,D
 3 sap,^,,,c,,,D
 4 description,^,,,c,,,D
 4 egress,^,,,c,,,D
 5 filter,^,,,c,,,D
 5 qos,^,,,c,,,D
 4 ingress,^,,,c,,,D
 5 qos,^,,,c,,,D
 4 shutdown,^,,,c,,,D
 3 shutdown,^,,,c,,,D
 2 aarp-interface,^,,,c,,,D
 3 description,^,,,c,,,D
 3 ip-mtu,^,,,c,,,D
 3 shutdown,^,,,c,,,D
 3 spoke-sdp,^,,,c,,,D
 4 aarp,^,,,c,,,D
 4 description,^,,,c,,,D
 4 egress,^,,,c,,,D
 5 filter,^,,,c,,,D
 5 vc-label,^,,,c,,,D
 4 ingress,^,,,c,,,D
 5 filter,^,,,c,,,D
 5 vc-label,^,,,c,,,D
 4 shutdown,^,,,c,,,D
 2 description,^,,,c,,,A
 2 eth-cfm,^,,,c,,,C
 3 tunnel-fault,^,,,c,,,C
 2 igmp-host-tracking,^,,,c,,,B
 3 expiry-time,^,,,c,,,B
 3 shutdown,^,,,c,,,B
 2 interface,^,,,c,,,A
 3 address,^,,,c,,,A
 3 allow-directed-broadcasts,^,,,c,,,A
 3 arp-host-route,^,,,c,,,A
 4 populate,^,,,c,,,A
 3 arp-learn-unsolicited,^,,,c,,,A
 3 arp-limit,^,,,c,,,A
 3 arp-populate,^,,,c,,,A
 3 arp-proactive-refresh,^,,,c,,,A
 3 arp-retry-timer,^,,,c,,,A
 3 arp-timeout,^,,,c,,,A
 3 authentication-policy,^,,,c,,,A
 3 bfd,^,,,c,,,A
 3 cflowd-parameters,^,,,c,,,A
 4 sampling,^,,,c,,,A
 3 cpu-protection,^,,,c,,,P
 3 description,^,,,c,,,A
 3 dhcp,^,,,c,,,A
 4 description,^,,,c,,,A
 4 gi-address,^,,,c,,,A
 4 lease-populate,^,,,c,,,A
 4 option,^,,,c,,,A
 5 action,^,,,c,,,A
 5 circuit-id,^,,,c,,,A
 5 remote-id,^,,,c,,,A
 5 vendor-specific-option,^,,,c,,,A
 6 client-mac-address,^,,,c,,,A
 6 pool-name,^,,,c,,,A
 6 sap-id,^,,,c,,,A
 6 service-id,^,,,c,,,A
 6 string,^,,,c,,,A
 6 system-id,^,,,c,,,A
 4 proxy-server,^,,,c,,,A
 5 emulated-server,^,,,c,,,A
 5 lease-time,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 4 python-policy,^,,,c,,,A
 4 relay-plain-bootp,^,,,c,,,A
 4 relay-proxy,^,,,c,,,A
 4 release-include-gi-address,^,,,c,,,B
 4 server,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 4 trusted,^,,,c,,,A
 4 use-arp,^,,,c,,,A
 3 dynamic-tunnel-redundant-next-hop,^,,,c,,,D
 3 egress,^,,,c,,,
 4 filter,^,,,c,,,
 3 enable-ingress-stats,^,,,c,,,A
 3 enable-mac-accounting,^,,,c,,,A
 3 hold-time,^,,,c,,,A
 4 down,^,,,c,,,A
 4 up,^,,,c,,,A
 3 host-connectivity-verify,^,,,c,,,B
 3 icmp,^,,,c,,,A
 4 mask-reply,^,,,c,,,A
 4 param-problem,^,,,c,,,A
 4 redirects,^,,,c,,,A
 4 ttl-expired,^,,,c,,,A
 4 unreachables,^,,,c,,,A
 3 if-attribute,^,,,c,,,A
 4 admin-group,^,,,c,,,A
 4 srlg-group,^,,,c,,,A
 3 ingress,^,,,c,,,A
 4 destination-class-lookup,^,,,c,,,A
 4 filter,^,,,c,,,
 4 policy-accounting,^,,,c,,,J
 3 ip-helper-address,^,,,c,,,A
 3 ip-mtu,^,,,c,,,A
 3 ip-mtu-profile,^,,,c,,,
 3 ip-tunnel,^,,,c,,,
 4 delivery-routing-instance,^,,,c,,,
 4 description,^,,,c,,,
 4 enable-egress-stats,^,,,c,,,
 4 enable-ingress-stats,^,,,c,,,
 4 gre-header,^,,,c,,,
 4 local-ip-address,^,,,c,,,
 4 remote-ip-address,^,,,c,,,
 4 shutdown,^,,,c,,,
 3 ipsec,^,,,c,,,V
 4 ip-exception,^,,,c,,,V
 4 ipsec-tunnel,^,,,c,,,V
 5 bfd-designate,^,,,c,,,V
 5 bfd-enable,^,,,c,,,V
 5 clear-df-bit,^,,,c,,,V
 5 copy-traffic-class-upon-decapsulation,^,,,c,,,V
 5 description,^,,,c,,,V
 5 dynamic-keying,^,,,c,,,V
 6 auto-establish,^,,,c,,,V
 6 cert,^,,,c,,,V
 7 cert-profile,^,,,c,,,V
 7 status-verify,^,,,c,,,V
 8 default-result,^,,,c,,,V
 8 primary,^,,,c,,,V
 7 trust-anchor-profile,^,,,c,,,V
 6 ike-policy,^,,,c,,,V
 6 local-id,^,,,c,,,V
 6 ppk,^,,,c,,,V
 6 pre-shared-key,^,,,c,,,V
 6 transform,^,,,c,,,V
 5 encapsulated-ip-mtu,^,,,c,,,V
 5 icmp-generation,^,,,c,,,V
 6 frag-required,^,,,c,,,V
 7 interval,^,,,c,,,V
 7 message-count,^,,,c,,,V
 5 icmp6-generation,^,,,c,,,V
 6 pkt-too-big,^,,,c,,,V
 7 interval,^,,,c,,,V
 7 message-count,^,,,c,,,V
 5 ip-mtu,^,,,c,,,V
 5 local-gateway-address,^,,,c,,,V
 5 manual-keying,^,,,c,,,V
 6 security-association,^,,,c,,,V
 5 max-history-esp-key-records,^,,,c,,,V
 5 max-history-ike-key-records,^,,,c,,,V
 5 pmtu-discovery-aging,^,,,c,,,V
 5 private-tcp-mss-adjust,^,,,c,,,V
 5 propagate-pmtu-v4,^,,,c,,,V
 5 propagate-pmtu-v6,^,,,c,,,V
 5 public-tcp-mss-adjust,^,,,c,,,V
 5 remote-gateway-address,^,,,c,,,V
 5 replay-window,^,,,c,,,V
 5 security-policy,^,,,c,,,V
 5 shutdown,^,,,c,,,V
 4 ipv6-exception,^,,,c,,,V
 4 shutdown,^,,,c,,,V
 3 ipv6,^,,,c,,,A
 4 address,^,,,c,,,A
 4 bfd,^,,,c,,,A
 4 dad-disable,^,,,c,,,A
 4 dhcp6-relay,^,,,c,,,A
 5 description,^,,,c,,,A
 5 lease-populate,^,,,c,,,A
 5 link-address,^,,,c,,,A
 5 neighbor-resolution,^,,,c,,,A
 5 option,^,,,c,,,A
 6 interface-id,^,,,c,,,A
 6 remote-id,^,,,c,,,A
 5 python-policy,^,,,c,,,A
 5 server,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 5 source-address,^,,,c,,,A
 5 user-db,^,,,c,,,B
 4 dhcp6-server,^,,,c,,,A
 5 max-nbr-of-leases,^,,,c,,,A
 5 prefix-delegation,^,,,c,,,A
 6 prefix,^,,,c,,,A
 7 duid,^,,,c,,,A
 7 preferred-lifetime,^,,,c,,,A
 7 valid-lifetime,^,,,c,,,A
 6 shutdown,^,,,c,,,A
 4 forward-ipv4-packets,^,,,c,,,A
 4 icmp6,^,,,c,,,A
 5 packet-too-big,^,,,c,,,A
 5 param-problem,^,,,c,,,A
 5 redirects,^,,,c,,,A
 5 time-exceeded,^,,,c,,,A
 5 unreachables,^,,,c,,,A
 4 link-local-address,^,,,c,,,A
 4 local-dhcp-server,^,,,c,,,B
 4 local-proxy-nd,^,,,c,,,A
 4 nd-host-route,^,,,c,,,A
 5 populate,^,,,c,,,A
 4 nd-learn-unsolicited,^,,,c,,,A
 4 nd-proactive-refresh,^,,,c,,,A
 4 neighbor,^,,,c,,,A
 4 neighbor-limit,^,,,c,,,A
 4 proxy-nd-policy,^,,,c,,,A
 4 qos-route-lookup,^,,,c,,,C
 4 reachable-time,^,,,c,,,A
 4 secure-nd,^,,,c,,,A
 5 allow-unsecured-msgs,^,,,c,,,A
 5 link-local-modifier,^,,,c,,,A
 5 public-key-min-bits,^,,,c,,,A
 5 security-parameter,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 4 stale-time,^,,,c,,,A
 4 tcp-mss,^,,,c,,,A
 4 urpf-check,^,,,c,,,A
 5 ignore-default,^,,,c,,,A
 5 mode,^,,,c,,,A
 4 vrrp,^,,,c,,,A
 5 backup,^,,,c,,,A
 5 bfd-enable,^,,,c,,,A
 5 init-delay,^,,,c,,,A
 5 mac,^,,,c,,,A
 5 master-int-inherit,^,,,c,,,A
 5 message-interval,^,,,c,,,A
 5 ntp-reply,^,,,c,,,A
 5 oper-group,^,,,c,,,A
 5 ping-reply,^,,,c,,,A
 5 policy,^,,,c,,,A
 5 preempt,^,,,c,,,A
 5 priority,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 5 standby-forwarding,^,,,c,,,A
 5 telnet-reply,^,,,c,,,A
 5 traceroute-reply,^,,,c,,,A
 3 load-balancing,^,,,c,,,A
 4 egr-ip-load-balancing,^,,,c,,,A
 4 flow-label-load-balancing,^,,,c,,,A
 4 spi-load-balancing,^,,,c,,,A
 4 teid-load-balancing,^,,,c,,,A
 3 local-dhcp-server,^,,,c,,,B
 3 local-proxy-arp,^,,,c,,,A
 3 loopback,^,,,c,,,A
 3 mac,^,,,c,,,A
 3 monitor-oper-group,^,,,c,,,A
 3 multi-chassis-shunting-profile,^,,,c,,,D
 3 multicast-network-domain,^,,,c,,,A
 3 ping-template,^,,,c,,,C
 4 destination-address,^,,,c,,,C
 4 shutdown,^,,,c,,,C
 3 proxy-arp-policy,^,,,c,,,A
 3 ptp-hw-assist,^,,,c,,,C
 3 qos-route-lookup,^,,,c,,,C
 3 remote-proxy-arp,^,,,c,,,A
 3 sap,^,,,c,,,A
 4 aarp,^,,,c,,,D
 4 accounting-policy,^,,,c,,,A
 4 anti-spoof,^,,,c,,,B
 4 app-profile,^,,,c,,,D
 4 bandwidth,^,,,c,,,A
 4 calling-station-id,^,,,c,,,B
 4 collect-stats,^,,,c,,,A
 4 cpu-protection,^,,,c,,,P
 4 description,^,,,c,,,A
 4 dist-cpu-protection,^,,,c,,,A
 4 egress,^,,,c,,,A
 5 agg-rate,^,,,c,,,A
 6 adaptation-rule,^,,,c,,,L
 6 burst-limit,^,,,c,,,L
 6 limit-unused-bandwidth,^,,,c,,,A
 6 queue-frame-based-accounting,^,,,c,,,A
 6 rate,^,,,c,,,A
 5 burst-limit,^,,,c,,,
 5 egress-remark-policy,^,,,c,,,
 5 filter,^,,,c,,,A
 5 latency-budget,^,,,c,,,C
 5 percent-agg-rate,^,,,c,,,
 6 rate,^,,,c,,,
 5 policer-control-override,^,,,c,,,F
 6 max-rate,^,,,c,,,F
 6 priority-mbs-thresholds,^,,,c,,,F
 7 min-thresh-separation,^,,,c,,,F
 7 priority,^,,,c,,,F
 8 mbs-contribution,^,,,c,,,F
 5 policer-control-policy,^,,,c,,,F
 5 policer-override,^,,,c,,,F
 6 policer,^,,,c,,,F
 7 cbs,^,,,c,,,F
 7 mbs,^,,,c,,,F
 7 packet-byte-offset,^,,,c,,,F
 7 percent-rate,^,,,c,,,F
 7 rate,^,,,c,,,F
 7 stat-mode,^,,,c,,,F
 5 qinq-mark-top-only,^,,,c,,,A
 5 qos,^,,,c,,,A
 5 queue-group-redirect-list,^,,,c,,,A
 5 queue-override,^,,,c,,,A
 6 hs-secondary-shaper,^,,,c,,,U
 6 hs-wrr-group,^,,,c,,,U
 7 class-weight,^,,,c,,,U
 7 percent-rate,^,,,c,,,U
 7 rate,^,,,c,,,U
 6 queue,^,,,c,,,A
 7 adaptation-rule,^,,,c,,,A
 7 avg-frame-overhead,^,,,c,,,A
 7 burst-limit,^,,,c,,,A
 7 cbs,^,,,c,,,A
 7 drop-tail,^,,,c,,,A
 8 low,^,,,c,,,A
 9 percent-reduction-from-mbs,^,,,c,,,A
 7 hs-class-weight,^,,,c,,,U
 7 hs-wred-queue,^,,,c,,,U
 7 hs-wrr-weight,^,,,c,,,U
 7 mbs,^,,,c,,,A
 7 monitor-queue-depth,^,,,c,,,A
 7 parent,^,,,c,,,A
 7 percent-rate,^,,,c,,,A
 7 rate,^,,,c,,,A
 5 scheduler-override,^,,,c,,,A
 6 scheduler,^,,,c,,,A
 7 parent,^,,,c,,,A
 7 rate,^,,,c,,,A
 5 scheduler-policy,^,,,c,,,A
 5 vlan-qos-policy,^,,,c,,,
 5 vport,^,,,c,,,B
 4 eth-cfm,^,,,c,,,C
 5 collect-lmm-fc-stats,^,,,c,,,C
 6 fc,^,,,c,,,C
 6 fc-in-profile,^,,,c,,,C
 5 collect-lmm-stats,^,,,c,,,C
 5 mep,^,,,c,,,C
 6 ais-enable,^,,,c,,,C
 7 interface-support-enable,^,,,c,,,C
 6 alarm-notification,^,,,c,,,C
 7 fng-alarm-time,^,,,c,,,C
 7 fng-reset-time,^,,,c,,,C
 6 ccm-enable,^,,,c,,,C
 6 ccm-ltm-priority,^,,,c,,,C
 6 ccm-padding-size,^,,,c,,,C
 6 csf-enable,^,,,c,,,C
 7 multiplier,^,,,c,,,C
 6 description,^,,,c,,,C
 6 eth-test-enable,^,,,c,,,C
 7 bit-error-threshold,^,,,c,,,C
 7 test-pattern,^,,,c,,,C
 6 fault-propagation-enable,^,,,c,,,C
 6 grace,^,,,c,,,C
 7 eth-ed,^,,,c,,,C
 8 max-rx-defect-window,^,,,c,,,C
 8 priority,^,,,c,,,C
 8 rx-eth-ed,^,,,c,,,C
 8 tx-eth-ed,^,,,c,,,C
 7 eth-vsm-grace,^,,,c,,,C
 8 rx-eth-vsm-grace,^,,,c,,,C
 8 tx-eth-vsm-grace,^,,,c,,,C
 6 low-priority-defect,^,,,c,,,C
 6 mac-address,^,,,c,,,C
 6 monitor-oper-group,^,,,c,,,C
 6 one-way-delay-threshold,^,,,c,,,C
 6 shutdown,^,,,c,,,C
 5 squelch-ingress-levels,^,,,c,,,C
 5 tunnel-fault,^,,,c,,,C
 4 fwd-wholesale,^,,,c,,,B
 5 pppoe,^,,,c,,,B
 4 host-lockout-policy,^,,,c,,,B
 4 host-shutdown,^,,,c,,,B
 4 ingress,^,,,c,,,A
 5 aggregate-policer-rate,^,,,c,,,
 5 criteria-overrides,^,,,c,,,C
 6 ip-criteria,^,,,c,,,C
 7 activate-entry-tag,^,,,c,,,C
 6 ipv6-criteria,^,,,c,,,C
 7 activate-entry-tag,^,,,c,,,C
 5 filter,^,,,c,,,A
 5 ip-filter-pair,^,,,c,,,
 5 match-qinq-dot1p,^,,,c,,,A
 5 policer-control-override,^,,,c,,,F
 6 max-rate,^,,,c,,,F
 6 priority-mbs-thresholds,^,,,c,,,F
 7 min-thresh-separation,^,,,c,,,F
 7 priority,^,,,c,,,F
 8 mbs-contribution,^,,,c,,,F
 5 policer-control-policy,^,,,c,,,F
 5 policer-override,^,,,c,,,F
 6 policer,^,,,c,,,F
 7 cbs,^,,,c,,,F
 7 mbs,^,,,c,,,F
 7 packet-byte-offset,^,,,c,,,F
 7 percent-rate,^,,,c,,,F
 7 rate,^,,,c,,,F
 7 stat-mode,^,,,c,,,F
 5 qos,^,,,c,,,A
 5 queue-group-redirect-list,^,,,c,,,A
 5 queue-override,^,,,c,,,A
 6 queue,^,,,c,,,A
 7 adaptation-rule,^,,,c,,,A
 7 cbs,^,,,c,,,A
 7 drop-tail,^,,,c,,,A
 8 low,^,,,c,,,A
 9 percent-reduction-from-mbs,^,,,c,,,A
 7 mbs,^,,,c,,,A
 7 monitor-queue-depth,^,,,c,,,A
 7 parent,^,,,c,,,A
 7 percent-rate,^,,,c,,,A
 7 rate,^,,,c,,,A
 5 scheduler-override,^,,,c,,,A
 6 scheduler,^,,,c,,,A
 7 parent,^,,,c,,,A
 7 rate,^,,,c,,,A
 5 scheduler-policy,^,,,c,,,A
 5 shared-policer,^,,,c,,,
 4 ip-tunnel,^,,,c,,,A
 5 backup-remote-ip,^,,,c,,,A
